user_name,acc,total_auc,kappa,prec_macro,prec_weigt,recall_macro,recall_weigt,f1score_macro,f1score_weigt
1,0.9357798165137615,0.75,0.6354515050167224,0.9656862744338097,0.9401870839816082,0.7499999999768797,0.9357798165,0.815566835362856,0.926217419817298
2,0.944954128440367,0.816,0.7200342465753424,0.9247474746976794,0.9431377999986152,0.8161654135056676,0.9449541284253914,0.8595360819450322,0.9409344551742533
3,0.963302752293578,0.857,0.8133561643835616,0.9797979797431333,0.9647854693513334,0.8571428571120838,0.9633027522778506,0.9063573877834312,0.9606229699435958
4,0.8807339449541285,0.84,0.5608924697861791,0.7448593073413475,0.909125660259679,0.840225563877004,0.8807339449387114,0.7787665880899844,0.8903795051798232
5,0.9541284403669725,0.821,0.7583148558758315,0.9749999999396944,0.9564220183260729,0.8214285714003491,0.9541284403519004,0.8784838344785302,0.9497304976806691
6,0.944954128440367,0.816,0.7200342465753424,0.9247474746976794,0.9431377999986152,0.8161654135056676,0.9449541284253914,0.8595360819450322,0.9409344551742533
7,0.9357798165137615,0.75,0.6354515050167224,0.9656862744338097,0.9401870839816082,0.7499999999768797,0.9357798165,0.815566835362856,0.926217419817298
8,0.9724770642201835,0.954,0.8807004742794601,0.9280141843630116,0.9736027067307542,0.9537593984579249,0.9724770642026833,0.9403393535966391,0.9728787850793504
9,0.9357798165137615,0.75,0.6354515050167224,0.9656862744338097,0.9401870839816082,0.7499999999768797,0.9357798165,0.815566835362856,0.926217419817298
10,0.9357798165137615,0.75,0.6354515050167224,0.9656862744338097,0.9401870839816082,0.7499999999768797,0.9357798165,0.815566835362856,0.926217419817298
11,0.944954128440367,0.786,0.6991720331186753,0.9702970296358139,0.9482241801920152,0.7857142856886143,0.9449541284259502,0.8483302406682096,0.9382904115661642
12,0.8990825688073395,0.851,0.6088091353996736,0.7728070175232538,0.9168678577044138,0.8507518796663669,0.8990825687917293,0.8036036030842395,0.9053640791637475
13,0.7614678899082569,0.863,0.4053713806126731,0.6749999999883786,0.9165137614541347,0.8631578946973051,0.7614678898924191,0.679990966125839,0.7999842531795969
14,0.9357798165137615,0.75,0.6354515050167224,0.9656862744338097,0.9401870839816082,0.7499999999768797,0.9357798165,0.815566835362856,0.926217419817298
15,0.9174311926605505,0.679,0.4919730709476955,0.9567307691263776,0.9245765701854287,0.6785714285534103,0.9174311926480996,0.7405448289343157,0.899742555835338
16,0.944954128440367,0.786,0.6991720331186753,0.9702970296358139,0.9482241801920152,0.7857142856886143,0.9449541284259502,0.8483302406682096,0.9382904115661642
17,0.8899082568807339,0.876,0.6045949214026602,0.7612330198356978,0.9215821613667216,0.8759398495887387,0.8899082568646616,0.8003662998554781,0.8997210735233105
18,0.9357798165137615,0.75,0.6354515050167224,0.9656862744338097,0.9401870839816082,0.7499999999768797,0.9357798165,0.815566835362856,0.926217419817298
19,0.981651376146789,0.929,0.9127301841473179,0.9896907216027695,0.982029698268589,0.9285714285355531,0.981651376129751,0.9563301276659775,0.9810412250763009
20,0.926605504587156,0.775,0.6267123287671232,0.8696969696522252,0.9214901306458972,0.7751879698992514,0.9266055045729323,0.8127147761066331,0.921245940404911
21,0.944954128440367,0.786,0.6991720331186753,0.9702970296358139,0.9482241801920152,0.7857142856886143,0.9449541284259502,0.8483302406682096,0.9382904115661642
22,0.9174311926605505,0.679,0.4919730709476955,0.9567307691263776,0.9245765701854287,0.6785714285534103,0.9174311926480996,0.7405448289343157,0.899742555835338
23,0.9541284403669725,0.821,0.7583148558758315,0.9749999999396944,0.9564220183260729,0.8214285714003491,0.9541284403519004,0.8784838344785302,0.9497304976806691
24,0.944954128440367,0.847,0.7381905524419536,0.8960481099259714,0.9426526687299044,0.8466165413227209,0.9449541284248328,0.8689903840822596,0.9431236762659657
25,0.963302752293578,0.857,0.8133561643835616,0.9797979797431333,0.9647854693513334,0.8571428571120838,0.9633027522778506,0.9063573877834312,0.9606229699435958
26,0.9357798165137615,0.75,0.6354515050167224,0.9656862744338097,0.9401870839816082,0.7499999999768797,0.9357798165,0.815566835362856,0.926217419817298
27,0.908256880733945,0.886,0.6535282898919262,0.7887640449233284,0.9290382434666276,0.8864661653781016,0.9082568807176795,0.8257672629092605,0.9148560496066632
28,0.908256880733945,0.643,0.4108108108108107,0.952380952251644,0.9169943206244253,0.6428571428416756,0.9082568807221494,0.6972222217705664,0.8850662584257578
29,0.6788990825688074,0.816,0.30573248407643316,0.6428571428458941,0.9082568807186703,0.8157894736451721,0.6788990825538386,0.6093189959936287,0.7318404519993791
30,0.908256880733945,0.795,0.5902255639097744,0.7951127819269419,0.9082568807193557,0.7951127819269419,0.9082568807193557,0.7951127814269419,0.9082568802193557
31,0.926605504587156,0.714,0.5666003976143141,0.9611650484558787,0.9323060478909811,0.714285714265145,0.9266055045740498,0.7797979793035414,0.9134093220784667
